timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1621024080.105 , BTCUSD , Buy , 2426 , 49788.5 ,,,,,
1621024080.105 , BTCUSD , Buy , 2600 , 49806.5 ,,,,,
1621024080.097 , BTCUSD , Buy , 22848 , 49819 ,,,,,
1621024080.099 , BTCUSD , Buy , 800 , 49807.5 ,,,,,
1621024080.122 , BTCUSD , Buy , 210432 , 49782.5 ,,,,,
1621024080.122 , BTCUSD , Buy , 14848 , 49785.5 ,,,,,
1621024080.1 , BTCUSD , Buy , 46680 , 49771 ,,,,,
1621024080.122 , BTCUSD , Buy , 60416 , 49778.5 ,,,,,
1621024080.1 , BTCUSD , Buy , 7378 , 49774 ,,,,,
1621024080.122 , BTCUSD , Buy , 2048 , 49774 ,,,,,
1621024080.122 , BTCUSD , Buy , 3584 , 49780 ,,,,,
1621024080.105 , BTCUSD , Buy , 53248 , 49780.5 ,,,,,
1621024080.123 , BTCUSD , Buy , 16384 , 49818.5 ,,,,,
1621024080.105 , BTCUSD , Buy , 14336 , 49807 ,,,,,
1621024080.123 , BTCUSD , Buy , 16896 , 49773 ,,,,,
1621024080.107 , BTCUSD , Buy , 9216 , 49816.5 ,,,,,
1621024081.102 , BTCUSD , Buy , 16384 , 49764.5 ,,,,,
1621024080.101 , BTCUSD , Buy , 3273 , 49799.5 ,,,,,
1621024080.101 , BTCUSD , Buy , 3 , 49793 ,,,,,
1621024080.106 , BTCUSD , Buy , 9003 , 49811.5 ,,,,,
1621024080.108 , BTCUSD , Buy , 6144 , 49772.5 ,,,,,
1621024080.124 , BTCUSD , Buy , 55808 , 49780.5 ,,,,,
1621024080.124 , BTCUSD , Buy , 7680 , 49783 ,,,,,
1621024080.124 , BTCUSD , Buy , 6144 , 49782 ,,,,,
1621024080.105 , BTCUSD , Buy , 5120 , 49769 ,,,,,
1621024080.105 , BTCUSD , Buy , 134656 , 49782.5 ,,,,,
1621024081.103 , BTCUSD , Buy , 4293 , 49762 ,,,,,
1621024080.124 , BTCUSD , Buy , 1 , 49776.5 ,,,,,
1621024080.128 , BTCUSD , Buy , 28160 , 49784 ,,,,,
1621024080.095 , BTCUSD , Buy , 5192 , 49795 ,,,,,
1621024080.095 , BTCUSD , Buy , 46101 , 49767 ,,,,,
1621024080.095 , BTCUSD , Buy , 25972 , 49769.5 ,,,,,
1621024080.096 , BTCUSD , Buy , 74 , 49772.5 ,,,,,
1621024080.1 , BTCUSD , Buy , 73216 , 49780.5 ,,,,,
1621024080.102 , BTCUSD , Buy , 267264 , 49782.5 ,,,,,
1621024081.083 , BTCUSD , Buy , 29764 , 49759.5 ,,,,,
1621024080.103 , BTCUSD , Buy , 10752 , 49782.5 ,,,,,
1621024081.09 , BTCUSD , Buy , 572928 , 49759.5 ,,,,,
1621024080.145 , BTCUSD , Buy , 45056 , 49776 ,,,,,
1621024082.118 , BTCUSD , Buy , 1328 , 49753 ,,,,,
1621024080.145 , BTCUSD , Buy , 136704 , 49781 ,,,,,
1621024082.118 , BTCUSD , Buy , 2859 , 49743 ,,,,,
1621024080.145 , BTCUSD , Buy , 145920 , 49784.5 ,,,,,
1621024080.148 , BTCUSD , Buy , 8192 , 49785.5 ,,,,,
1621024080.152 , BTCUSD , Buy , 2048 , 49790.5 ,,,,,
1621024080.165 , BTCUSD , Buy , 65024 , 49780 ,,,,,
1621024080.106 , BTCUSD , Buy , 729 , 49804.5 ,,,,,
1621024080.122 , BTCUSD , Buy , 562176 , 49783 ,,,,,
1621024080.134 , BTCUSD , Buy , 378 , 49776.5 ,,,,,
1621024080.122 , BTCUSD , Buy , 377 , 49769.5 ,,,,,
1621024082.092 , BTCUSD , Buy , 14625 , 49742.5 ,,,,,
1621024080.134 , BTCUSD , Buy , 39424 , 49781 ,,,,,
1621024080.134 , BTCUSD , Buy , 23552 , 49770.5 ,,,,,
1621024082.096 , BTCUSD , Buy , 1527 , 49744.5 ,,,,,
1621024082.096 , BTCUSD , Buy , 1610 , 49742.5 ,,,,,
1621024082.096 , BTCUSD , Buy , 5 , 49736.5 ,,,,,
1621024082.104 , BTCUSD , Buy , 9728 , 49751.5 ,,,,,
1621024080.135 , BTCUSD , Buy , 52347 , 49772.5 ,,,,,
1621024081.102 , BTCUSD , Buy , 7000 , 49759.5 ,,,,,
1621024080.138 , BTCUSD , Buy , 2501 , 49783.5 ,,,,,
1621024081.102 , BTCUSD , Buy , 12887 , 49759 ,,,,,
1621024080.142 , BTCUSD , Buy , 74752 , 49780 ,,,,,
1621024080.145 , BTCUSD , Buy , 11264 , 49794 ,,,,,
1621024082.092 , BTCUSD , Buy , 27 , 49748 ,,,,,
1621024080.149 , BTCUSD , Buy , 2589 , 49766.5 ,,,,,
1621024082.092 , BTCUSD , Buy , 5631 , 49755.5 ,,,,,
1621024080.15 , BTCUSD , Buy , 50000 , 49796.5 ,,,,,
1621024082.098 , BTCUSD , Buy , 9216 , 49755 ,,,,,
1621024082.135 , BTCUSD , Buy , 6144 , 49752 ,,,,,
1621024081.108 , BTCUSD , Buy , 7168 , 49762 ,,,,,
1621024082.115 , BTCUSD , Buy , 34 , 49745.5 ,,,,,
1621024081.092 , BTCUSD , Buy , 26104 , 49758 ,,,,,
1621024081.102 , BTCUSD , Buy , 2048 , 49760 ,,,,,
1621024081.099 , BTCUSD , Buy , 20992 , 49766 ,,,,,
1621024081.099 , BTCUSD , Buy , 30208 , 49762.5 ,,,,,
1621024081.102 , BTCUSD , Buy , 642560 , 49767 ,,,,,
1621024082.104 , BTCUSD , Buy , 10240 , 49754 ,,,,,
1621024082.104 , BTCUSD , Buy , 14848 , 49755.5 ,,,,,
1621024082.101 , BTCUSD , Buy , 5893 , 49742.5 ,,,,,
1621024082.101 , BTCUSD , Buy , 5667 , 49750 ,,,,,
1621024082.101 , BTCUSD , Buy , 6144 , 49741 ,,,,,
1621024085.108 , BTCUSD , Buy , 870 , 49691 ,,,,,
1621024085.11 , BTCUSD , Buy , 2906 , 49695.5 ,,,,,
1621024082.111 , BTCUSD , Buy , 4096 , 49745 ,,,,,
1621024082.111 , BTCUSD , Buy , 379 , 49753 ,,,,,
1621024085.114 , BTCUSD , Buy , 15872 , 49684.5 ,,,,,
1621024082.112 , BTCUSD , Buy , 7168 , 49742.5 ,,,,,
1621024084.099 , BTCUSD , Buy , 418 , 49709.5 ,,,,,
1621024084.099 , BTCUSD , Buy , 330 , 49718 ,,,,,
1621024085.117 , BTCUSD , Buy , 965 , 49688 ,,,,,
1621024084.106 , BTCUSD , Buy , 378 , 49708.5 ,,,,,
1621024084.106 , BTCUSD , Buy , 6144 , 49733 ,,,,,
1621024082.118 , BTCUSD , Buy , 10000 , 49743 ,,,,,
1621024084.103 , BTCUSD , Buy , 1536 , 49718 ,,,,,
1621024085.102 , BTCUSD , Buy , 12098 , 49701.5 ,,,,,
1621024085.102 , BTCUSD , Buy , 642 , 49698 ,,,,,
1621024085.102 , BTCUSD , Buy , 21586 , 49694 ,,,,,
1621024084.088 , BTCUSD , Buy , 40000 , 49730.5 ,,,,,
1621024084.088 , BTCUSD , Buy , 50 , 49700.5 ,,,,,
1621024084.089 , BTCUSD , Buy , 445 , 49722 ,,,,,
1621024082.146 , BTCUSD , Buy , 376 , 49744.5 ,,,,,
1621024084.113 , BTCUSD , Buy , 14381 , 49727 ,,,,,
1621024084.088 , BTCUSD , Buy , 29414 , 49723 ,,,,,
1621024084.093 , BTCUSD , Buy , 1159 , 49703 ,,,,,
1621024084.093 , BTCUSD , Buy , 190976 , 49720 ,,,,,
1621024084.099 , BTCUSD , Buy , 6656 , 49729 ,,,,,
1621024084.094 , BTCUSD , Buy , 68 , 49726.5 ,,,,,
1621024085.102 , BTCUSD , Buy , 929 , 49688 ,,,,,
1621024085.122 , BTCUSD , Buy , 1536 , 49695 ,,,,,
1621024085.09 , BTCUSD , Buy , 91 , 49699 ,,,,,
1621024085.092 , BTCUSD , Buy , 124 , 49689 ,,,,,
1621024085.097 , BTCUSD , Buy , 3513 , 49697 ,,,,,
1621024085.097 , BTCUSD , Buy , 21504 , 49688 ,,,,,
1621024085.097 , BTCUSD , Buy , 1560 , 49688.5 ,,,,,
1621024085.097 , BTCUSD , Buy , 265652 , 49681.5 ,,,,,
1621024085.105 , BTCUSD , Buy , 158720 , 49691.5 ,,,,,
1621024084.097 , BTCUSD , Buy , 6905 , 49719 ,,,,,
1621024084.098 , BTCUSD , Buy , 200 , 49723.5 ,,,,,
1621024084.099 , BTCUSD , Buy , 4 , 49708 ,,,,,
1621024084.112 , BTCUSD , Buy , 416000 , 49710.5 ,,,,,
1621024084.112 , BTCUSD , Buy , 65536 , 49722 ,,,,,
1621024099.154 , BTCUSD , Buy , 1 , 49677.5 ,,,,,
1621024101.14 , BTCUSD , Buy , 362 , 49659.5 ,,,,,
1621024102.128 , BTCUSD , Buy , 16417 , 49652 ,,,,,
1621024102.125 , BTCUSD , Buy , 460 , 49657 ,,,,,
1621024102.132 , BTCUSD , Buy , 24892 , 49654 ,,,,,
1621024099.121 , BTCUSD , Buy , 500 , 49671.5 ,,,,,
1621024101.127 , BTCUSD , Buy , 66790 , 49662 ,,,,,
1621024099.115 , BTCUSD , Buy , 44 , 49665.5 ,,,,,
1621024101.119 , BTCUSD , Buy , 32 , 49658 ,,,,,
1621024099.12 , BTCUSD , Buy , 309 , 49680 ,,,,,
1621024102.136 , BTCUSD , Buy , 300 , 49653.5 ,,,,,
1621024103.134 , BTCUSD , Buy , 3072 , 49648 ,,,,,
1621024099.124 , BTCUSD , Buy , 400 , 49672.5 ,,,,,
1621024104.132 , BTCUSD , Buy , 1365 , 49624 ,,,,,
1621024104.147 , BTCUSD , Buy , 379 , 49637 ,,,,,
1621024105.124 , BTCUSD , Buy , 378 , 49616.5 ,,,,,
1621024104.123 , BTCUSD , Buy , 50 , 49632 ,,,,,
1621024104.126 , BTCUSD , Buy , 10000 , 49640 ,,,,,
1621024105.14 , BTCUSD , Buy , 1000 , 49619.5 ,,,,,
1621024105.149 , BTCUSD , Buy , 512 , 49618.5 ,,,,,
1621024104.121 , BTCUSD , Buy , 116 , 49628 ,,,,,
1621024105.165 , BTCUSD , Buy , 1337 , 49623.5 ,,,,,
1621024105.133 , BTCUSD , Buy , 500 , 49611.5 ,,,,,
1621024103.128 , BTCUSD , Buy , 483 , 49649.5 ,,,,,
1621024115.146 , BTCUSD , Buy , 5 , 49574 ,,,,,
1621024099.154 , BTCUSD , Buy , 4729 , 49669 ,,,,,
1621024099.169 , BTCUSD , Buy , 3072 , 49676.5 ,,,,,
1621024104.127 , BTCUSD , Buy , 2048 , 49634 ,,,,,
1621024101.137 , BTCUSD , Buy , 600 , 49664 ,,,,,
1621024121.171 , BTCUSD , Buy , 12559 , 49553 ,,,,,
1621024121.171 , BTCUSD , Buy , 413 , 49548 ,,,,,
1621024112.15 , BTCUSD , Buy , 2560 , 49607.5 ,,,,,
1621024114.148 , BTCUSD , Buy , 586 , 49595.5 ,,,,,
1621024112.145 , BTCUSD , Buy , 379 , 49607.5 ,,,,,
1621024118.155 , BTCUSD , Buy , 4700 , 49564.5 ,,,,,
1621024115.146 , BTCUSD , Buy , 28630 , 49584 ,,,,,
1621024115.147 , BTCUSD , Buy , 17706 , 49572 ,,,,,
1621024115.147 , BTCUSD , Buy , 11804 , 49580.5 ,,,,,
1621024115.153 , BTCUSD , Buy , 965 , 49588 ,,,,,
1621024115.19 , BTCUSD , Buy , 45152 , 49574.5 ,,,,,
1621024115.191 , BTCUSD , Buy , 6180 , 49571 ,,,,,
1621024115.197 , BTCUSD , Buy , 1334 , 49585 ,,,,,
1621024121.144 , BTCUSD , Buy , 3 , 49529.5 ,,,,,
1621024115.175 , BTCUSD , Buy , 8 , 49572.5 ,,,,,
1621024112.14 , BTCUSD , Buy , 392 , 49601.5 ,,,,,
1621024104.15 , BTCUSD , Buy , 3072 , 49630 ,,,,,
1621024115.142 , BTCUSD , Buy , 605 , 49569 ,,,,,
1621024114.14 , BTCUSD , Buy , 40000 , 49597 ,,,,,
1621024124.165 , BTCUSD , Buy , 3500 , 49529 ,,,,,
1621024120.167 , BTCUSD , Buy , 3674 , 49556 ,,,,,
1621024121.145 , BTCUSD , Buy , 4300 , 49545.5 ,,,,,
1621024121.145 , BTCUSD , Buy , 1 , 49529.5 ,,,,,
